word,lm_score,ngram_size,oov,silence_within,missed_speech_before,logits_median,start_time,end_time
de,-1.7510451078414917,4,False,,-0.18823383241769187,-2.897757649421692,87.86,87.92
stad,-2.701267719268799,4,False,-0.3487793277030437,-0.11633894427422546,-2.9983357191085815,88.04,88.28
bezoeken,-3.865053415298462,3,False,-0.06718918178451509,-0.16906440829572775,-2.1730644702911377,88.52,89.1
en,-1.8386051654815674,2,False,-0.10638227713084039,,-2.4168052673339844,89.88,90.12
op,-1.9951730966567993,3,False,-0.4012053076727968,-0.2191873060056507,-2.3441038131713867,91.5,91.64
de,-0.9225839376449585,3,False,,-0.1499766786806903,-2.536997675895691,91.84,91.9
zee,-3.455230474472046,4,False,,-0.14500121398351906,-2.677719831466675,92.04,92.14
kanhoe,-9.418953895568848,1,False,-0.04499854554606496,-0.16278623252912497,-1.6514530181884766,92.24,96.74
gaat,-3.0123631954193115,1,False,-0.22372360813370365,-0.0898462780221529,-2.6771953105926514,96.8,97.02
u,-1.9149916172027588,2,False,,-0.08283364213101437,-2.096519708633423,97.08,97.12
naar,-1.434685468673706,3,False,-0.3176167809676299,-0.14555919190226088,-2.484314441680908,97.26,97.4
die,-2.1103298664093018,4,False,,-0.1124850773713085,-2.8097236156463623,97.5,97.62
stad,-3.1638762950897217,3,False,-0.2823515265647684,-0.051983155344263676,-2.749361753463745,97.68,97.94
toe,-2.3757925033569336,4,False,,-0.15534132660798758,-2.5341856479644775,98.04,98.16
met,-2.5819711685180664,2,False,-0.34157709885326154,-0.23195217711434749,-2.2718840837478638,101.38,101.52
de,-1.0324852466583252,3,False,,,-2.8075510263442993,102.36,102.42
boot,-2.868893623352051,3,False,-0.38836980159529266,-0.10694922872062784,-2.242684483528137,102.54,102.78
wilt,-3.70286226272583,3,False,-0.13118873797793107,-0.22855407977465264,-2.8280659914016724,107.06,107.3
u,-1.192191243171692,3,False,,-0.12058344001702881,-2.0120307207107544,107.38,107.4
meteen,-3.181922674179077,3,False,-0.3090513230501568,-0.09804763347631518,-2.4670791625976562,107.48,107.84
naar,-1.189194917678833,4,False,-0.34541337178634307,-0.12127058605687524,-2.331349492073059,107.94,108.14
die,-2.576111078262329,3,False,-0.2573237060790742,-0.030204449022915802,-2.659929037094116,108.2,108.34
stad,-2.7006006240844727,3,False,-0.28566062633924294,-0.11965685799603218,-2.473473310470581,108.44,108.64
toe,-2.3757925033569336,4,False,-0.3188943113405218,-0.06308695818394068,-2.329732656478882,108.7,108.84
of,-2.759836435317993,2,False,-0.30094572447198226,-0.05618485357298147,-2.4899622201919556,108.9,109.08
onderweg,-4.323347091674805,2,False,-0.09513898138910121,-0.09598391716152953,-2.7222856283187866,109.18,109.74
nog,-2.801449775695801,2,False,-0.2875208540926092,-0.11960223562322876,-2.5511415004730225,109.86,110.02
iets,-1.402043104171753,3,False,-0.32855501581255186,-0.16199736523242003,-2.6238049268722534,110.18,110.34
anders,-1.4923173189163208,3,False,-0.2951442308951592,-0.11645803347346668,-2.409692406654358,110.46,110.82
zien,-2.2693302631378174,4,False,-0.31017506005319334,-0.17214851999990735,-2.720495104789734,111.04,111.18
ik,-3.511186122894287,3,False,,-0.21529269902639547,-2.4608033895492554,114.42,114.54
wil,-1.1688263416290283,3,False,-0.26288002722305687,-0.13980625475516667,-2.522732138633728,114.68,114.86
meteen,-3.83146333694458,3,False,-0.07476994715805509,-0.22008997230881241,-2.4693251848220825,115.26,115.68
naar,-1.4318712949752808,4,False,-0.30852698174792825,-0.13681381781857882,-2.1470437049865723,115.8,115.98
de,-1.0523333549499512,5,False,,-0.07691156337077665,-2.7689603567123413,116.06,116.12
stad,-2.4599483013153076,4,False,-0.2564400865662086,-0.14960196662134795,-2.3944286108016968,116.26,116.5
gaan,-1.785230278968811,4,False,-0.14927861957236435,-0.24036028705830087,-2.602436065673828,118.06,118.26
waar,-3.841266632080078,2,False,-0.41197902018876453,-0.2018401222517602,-2.5047398805618286,121.36,121.5
wil,-2.7606284618377686,3,False,-0.28912628515797345,-0.12470707610678052,-2.8662532567977905,121.66,121.8
het,-2.504181146621704,3,False,,0.2840699462519778,-2.875188112258911,121.82,121.92
u,-3.127396583557129,3,False,,-0.013226296662590195,-1.8532816767692566,121.98,122.0
het,-2.185946226119995,3,False,,-0.14507293694183584,-2.664772868156433,122.14,122.22
liefst,-2.972196102142334,3,False,-0.35973341754576976,-0.15668086093607278,-2.709067225456238,122.34,122.7
slapen,-4.8871049880981445,1,False,-0.2665008706174097,-0.14152419215809772,-2.385575532913208,122.84,123.24
ik,-1.931714653968811,2,False,,-0.19946557194396575,-2.5536887645721436,125.94,126.04
wil,-1.4610551595687866,3,False,-0.29628330951053955,-0.16819344448071494,-2.657085418701172,126.24,126.46
in,-2.1369519233703613,4,False,,-0.15677910459419067,-1.9044959545135498,126.66,126.74
een,-1.3482929468154907,4,False,-0.2337920918600303,-0.11113524724908135,-2.1851969957351685,126.82,127.0
hotel,-2.826188564300537,3,False,-0.2387254473333723,-0.16421124013646482,-2.234286069869995,127.14,127.56
slapen,-1.9958354234695435,4,False,-0.2405399064655133,-0.1687905016719522,-2.3841257095336914,127.72,128.14
moeten,-3.961275815963745,2,False,-0.12857784977151412,-0.2271354215468881,-2.5458168983459473,131.46,131.72
wij,-2.6549184322357178,2,False,,0.04044758128056715,-2.538695454597473,131.76,131.84
alle,-3.0443010330200195,3,False,-0.3172719394679401,-0.15437359809043288,-2.8788381814956665,132.0,132.3
maaltijden,-4.0849175453186035,2,False,-0.3194543795517263,0.07905276504664102,-2.822780966758728,132.34,132.92
voordeur,-5.926194667816162,1,False,-0.2492036407509644,0.06129858459763719,-2.4692602157592773,132.96,133.28
regelen,-4.231135368347168,1,False,-0.2727002970797422,-0.11482469310587576,-2.20734965801239,133.38,133.72
of,-2.018522262573242,2,False,,-0.11853739858867698,-2.2134010791778564,133.82,133.94
doet,-3.6322903633117676,2,False,-0.36581332211406264,-0.1588594880395563,-2.8684276342391968,134.1,134.26
u,-1.0202969312667847,3,False,,-0.03802573559837711,-2.3978289365768433,134.32,134.34
dat,-0.6121116280555725,4,False,-0.2894852094799667,-0.13672488900635665,-2.3626649379730225,134.44,134.58
liever,-1.336997389793396,5,False,-0.24130668852807183,-0.1759914286928438,-2.258251905441284,134.74,135.06
zelf,-1.3498176336288452,4,False,-0.2510336758550709,-0.1453877335641754,-2.183916687965393,135.16,135.42
u,-4.263458251953125,2,False,,,-2.205129027366638,136.32,136.34
krijgt,-2.781379222869873,2,False,-0.26738838201695897,-0.1415293837892118,-2.579192280769348,136.5,136.82
dan,-2.016620635986328,3,False,-0.33387317808640105,-0.11093232062623787,-2.5731050968170166,136.94,137.12
geld,-2.870893955230713,3,False,-0.3204600176813994,-0.020701557054939885,-2.868109703063965,137.18,137.44
voor,-0.9981219172477722,4,False,-0.3949293255539641,-0.13455641672133198,-2.140274405479431,137.56,137.7
eten,-1.9905402660369873,4,False,-0.43225757326200914,-0.10089701227228161,-2.5379966497421265,137.8,138.04
en,-1.0910471677780151,4,False,,-0.09062762614460577,-2.1003388166427612,138.16,138.22
drinken,-1.1021649837493896,4,False,-0.27311508205525303,-0.08607954812808069,-2.383101224899292,138.32,138.74
ikwilgraag,-9.509139060974121,1,False,-0.07503944688962391,-0.19191328611791786,-2.4518877267837524,140.5,141.5
zelf,-3.4990131855010986,1,False,-0.06573961683590726,,-2.4142614603042603,142.04,142.5
mentaten,-7.848581314086914,1,False,-0.054009581061081495,,-2.071018695831299,143.44,145.46
doen,-3.2113001346588135,1,False,-0.4509361078438787,-0.09070664154289211,-2.6059566736221313,145.54,145.74
wilt,-3.620211124420166,2,False,-0.14348209555603325,-0.22216142496059516,-2.581323742866516,148.74,148.98
u,-0.5166887044906616,3,False,,0.03149825483519514,-2.0037355422973633,149.02,149.06
namen,-4.428417682647705,3,False,-0.31188037559034004,-0.14532359814216295,-2.8311519622802734,149.22,149.54
van,-1.1388051509857178,3,False,-0.22562139790969676,-0.07200184179054764,-2.5462534427642822,149.6,149.76
restaurants,-3.6877293586730957,3,False,-0.05136124865611703,-0.08603315679989497,-2.3470661640167236,149.84,150.62
in,-1.254095196723938,3,False,,-0.1115972730705661,-2.0639625787734985,150.74,150.82
de,-0.3038557767868042,4,False,,0.0901264877852862,-2.6107804775238037,150.86,150.94
stad,-0.4856868088245392,5,False,-0.2754707497217913,-0.1335324255078317,-2.4246877431869507,151.08,151.3
ja,-3.6726510524749756,4,False,,-0.2326638574467006,-2.3615880012512207,153.12,153.18
ik,-1.255910038948059,5,False,,-0.18137402512202888,-2.505795478820801,153.38,153.48
wil,-1.925485610961914,3,False,-0.2480368364856518,-0.07760688833946394,-2.5196430683135986,153.56,153.7
raak,-5.4480299949646,3,False,-0.2982618970545292,-0.19032271139103993,-2.8834004402160645,153.96,154.22
de,-1.7987160682678223,2,False,,-0.07801974041786933,-2.6875181198120117,154.3,154.36
namen,-3.6546263694763184,2,False,-0.30372392065278775,-0.11369132817817566,-2.553328037261963,154.48,154.84
van,-0.6843721866607666,3,False,,-0.1254834118196928,-2.4107056856155396,155.02,155.14
stond,-5.308217525482178,2,False,-0.065082750749364,-0.18904328990872474,-2.814063787460327,155.38,156.08
stadwe,-8.45218276977539,1,False,-0.04143233912530899,-0.1640937193275073,-1.6363446712493896,156.22,163.66
reisgids,-5.85505485534668,1,False,-0.16161106507494313,-0.07911402349637495,-2.5490111112594604,163.74,164.34
of,-1.989612340927124,2,False,-0.3636825268089913,-0.044488656003118375,-2.5589765310287476,164.4,164.56
gaat,-3.0591466426849365,2,False,-0.27381097115695263,-0.1638117120738604,-2.9071807861328125,164.66,164.92
u,-1.0939745903015137,3,False,,0.2369861026184059,-2.2660378217697144,164.94,164.98
liever,-2.3189280033111572,4,False,-0.2637829009089834,-0.19276470196238632,-2.5342518091201782,165.12,165.44
zelf,-2.23097562789917,3,False,-0.36413265124026273,-0.15587111643561966,-2.1692949533462524,165.56,165.78
de,-1.2838366031646729,3,False,,-0.12784381095442274,-2.9580010175704956,165.9,165.96
stad,-2.8373122215270996,3,False,-0.28851880273534714,-0.1742959294371483,-2.538719058036804,166.14,166.36
bekijken,-3.229433298110962,3,False,-0.26961006434290086,-0.10385669021247039,-2.280058741569519,166.48,166.94
ik,-2.909836769104004,2,False,,-0.19731569865616116,-2.5785388946533203,168.54,168.66
heb,-0.8276227116584778,3,False,-0.3489551595173733,-0.12130005224503275,-2.7204710245132446,168.76,168.92
liever,-2.8324482440948486,3,False,-0.27853999007461616,-0.11239940229836272,-2.7153156995773315,169.02,169.46
zelf,-2.3136019706726074,4,False,-0.1833441139102924,-0.20004806543828899,-2.435112714767456,169.8,170.08
steds,-8.345744132995605,1,False,-0.1414587530911134,-0.21044204038106734,-2.607526421546936,170.34,170.74
bekeken,-4.0799970626831055,1,False,-0.2176353722295546,-0.07921357902852127,-2.29707407951355,170.82,171.36
ik,-2.238163709640503,2,False,,-0.20628337973712713,-2.3273972272872925,174.3,174.4
heb,-0.7265045642852783,3,False,-0.3046404902822192,-0.12493940438638104,-2.5606902837753296,174.5,174.68
u,-2.3996992111206055,3,False,,-0.08734487554613302,-1.8526839017868042,174.74,174.76
niet,-1.3636143207550049,4,False,,-0.1595242193736299,-2.3765642642974854,174.9,175.02
verstaan,-2.0305755138397217,5,False,-0.12390879655559188,-0.11278317828220658,-2.486805558204651,175.14,175.66
kunt,-4.456846237182617,2,False,-0.16129445623109556,,-2.2096203565597534,176.48,176.72
u,-0.567682683467865,3,False,,-0.09367249038001418,-1.932137131690979,176.82,176.84
duidelijker,-4.63326358795166,3,False,-0.058477581917147206,-0.12068146859038474,-3.0763041973114014,176.96,177.58
spreken,-0.9983524084091187,4,False,-0.28108847120126706,-0.12975911929482942,-2.393938183784485,177.68,178.14
ik,-2.5339417457580566,2,False,-0.37078491601073965,-0.18574237842243324,-2.340657114982605,179.12,179.26
wil,-1.0517303943634033,3,False,-0.29407735448283945,-0.08300156314122054,-2.241490960121155,179.34,179.52
zelf,-3.3713419437408447,3,False,-0.17781390629390095,-0.17946548286500394,-2.0535061359405518,179.76,180.16
staat,-3.6326394081115723,2,False,-0.055767053497242654,,-2.584450125694275,180.72,181.04
bekijken,-4.848849296569824,2,False,-0.04976354732188409,-0.13950996127068846,-1.7479494214057922,181.18,185.32
zijn,-2.7095696926116943,2,False,-0.29040479661267005,-0.09981355428505442,-2.3835822343826294,185.4,185.62
verschillende,-4.009934902191162,2,False,-0.07109351403656354,-0.07377970877816445,-2.100474715232849,185.7,186.4
soorten,-1.5626329183578491,3,False,-0.32254627090610233,-0.1237570682750636,-2.1510117053985596,186.52,186.9
reisgidsen,-6.604703426361084,1,False,-0.053134921359762076,0.05885916456804802,-2.3988394737243652,186.94,187.7
wat,-2.9826016426086426,1,False,-0.2799930212439384,,-2.4778424501419067,188.5,188.7
heeft,-2.3597679138183594,2,False,-0.2689104045992544,-0.0862839870757092,-2.597145199775696,188.78,189.06
u,-1.2555639743804932,3,False,,-0.15679796859429906,-2.084495425224304,189.16,189.18
liever,-2.4379563331604004,4,False,-0.2290629919685139,-0.13559142220197445,-2.3185923099517822,189.26,189.64
het,-2.1972007751464844,4,False,-0.3962085524024591,-0.20116164535900918,-2.5419758558273315,193.02,193.18
gewoon,-3.5013036727905273,2,False,-0.11441817322094604,-0.09230130790849729,-1.9658369421958923,193.28,193.84
heengieten,-8.545625686645508,1,False,-0.05473645002838977,-0.2257599885332772,-1.67182195186615,195.42,200.84
elk,-3.891650438308716,1,False,-0.3403686171867061,-0.17412726351944144,-2.6066938638687134,201.08,201.32
seizoen,-2.5804409980773926,2,False,-0.3118573914211795,-0.1295037857788221,-2.568131923675537,201.42,201.84
wilt,-3.554196357727051,2,False,-0.32997805107977923,-0.11767612446134702,-2.955864906311035,201.98,202.22
u,-1.2390938997268677,2,False,,0.04842372326692085,-2.0291364192962646,202.26,202.28
op,-2.2638535499572754,3,False,,-0.09656557522535633,-2.345741868019104,202.38,202.5
reis,-2.689821720123291,3,False,-0.4337858117680916,-0.12993841894456945,-2.319694399833679,202.66,202.86
gaan,-1.5385794639587402,3,False,-0.3454444830472077,-0.13545184937004917,-2.4016222953796387,203.04,203.24
in,-2.4382665157318115,4,False,-0.37076709290855964,-0.21573579355017403,-2.2760218381881714,204.92,205.06
de,-0.2046673744916916,5,False,,-0.084863796124586,-2.6937687397003174,205.14,205.2
zomer,-2.4794158935546875,4,False,-0.15723586737592107,-0.12155046600172226,-2.436592221260071,205.32,205.84
wil,-3.3689780235290527,3,False,-0.3242362227876959,-0.23368755635056976,-2.5370068550109863,206.84,207.06
ik,-0.2904645800590515,4,False,,-0.08995972920232827,-2.3033664226531982,207.18,207.3
op,-2.7074685096740723,3,False,-0.3474967534980464,-0.19368241300625627,-2.2655019760131836,207.58,207.74
huis,-4.191777229309082,3,False,-0.3403700317694265,-0.16695571731216588,-2.5519384145736694,207.9,208.08
kan,-3.353492021560669,2,False,-0.3446412012502704,-0.12930093269547935,-2.5094056129455566,208.16,208.38
weet,-3.9888155460357666,2,False,-0.4023684440500855,-0.2247242471612942,-2.8082531690597534,211.5,211.66
u,-2.129558563232422,2,False,,-0.012700898814086564,-2.4029059410095215,211.7,211.72
iets,-1.9210819005966187,3,False,-0.2756977841612956,-0.18198769392280095,-2.486100673675537,211.92,212.08
over,-0.4485619068145752,4,False,-0.25989989030968874,-0.07027004723918295,-2.162489414215088,212.14,212.4
het,-1.3298053741455078,5,False,,-0.11635916791353576,-2.633625626564026,212.5,212.62
weer,-1.9972727298736572,4,False,-0.3688841968562092,-0.12238224306009253,-2.697307586669922,212.74,212.9
in,-1.5553369522094727,5,False,,-0.12008524372011344,-2.219749093055725,213.02,213.1
dat,-2.4305458068847656,4,False,-0.45896792669133407,-0.09930293641088513,-2.519980549812317,213.2,213.38
seizoen,-4.494781017303467,3,False,-0.3745307642379854,-0.14474354470738138,-2.4988348484039307,213.5,213.94
wat,-2.903029203414917,2,False,-0.38548944023107856,-0.22278276112179185,-2.466907501220703,221.64,221.82
vindt,-3.0822277069091797,2,False,-0.2816446759527969,-0.07298851779937428,-2.424857497215271,221.88,222.14
u,-0.47792842984199524,3,False,,0.047886817356030134,-2.2330868244171143,222.18,222.2
van,-0.6688730716705322,4,False,-0.2673722928562839,-0.08850181020290843,-2.376842737197876,222.28,222.5
het,-0.9943415522575378,5,False,,-0.10820031238666074,-2.7099744081497192,222.62,222.72
weer,-3.491891384124756,3,False,-0.2594653022402402,-0.1127549959981738,-2.5633347034454346,222.84,223.06
daar,-3.155383586883545,3,False,-0.2976502609877132,-0.11445397503365737,-2.407519817352295,223.16,223.32
ik,-2.9666764736175537,2,False,,-0.20812301929119442,-2.357425332069397,225.18,225.28
vind,-2.3516364097595215,3,False,-0.2602090692238206,-0.12321653611082446,-2.594305157661438,225.38,225.78
dat,-1.0991653203964233,4,False,,,-2.6226574182510376,226.68,226.8
het,-1.993612289428711,4,False,-0.25128832428958664,-0.1560219311318132,-2.645157814025879,227.02,227.16
er,-1.2134031057357788,5,False,-0.25482162467357933,-0.16411945853617854,-2.3903661966323853,227.4,227.58
heel,-1.9094191789627075,5,False,-0.20454030743747822,-0.20638933858678365,-2.4813519716262817,227.98,228.18
mooi,-0.5355463027954102,5,False,-0.25381402872691516,-0.14152196750067983,-2.1173150539398193,228.32,228.5
is,-0.32430797815322876,5,False,-0.28335786398530216,-0.17360552152919875,-2.1514593362808228,228.6,228.78
bent,-5.431150913238525,2,False,-0.4153883222646917,-0.20951098134113946,-2.424078345298767,233.58,233.8
u,-0.048954132944345474,3,False,,-0.041769642943857876,-2.401352047920227,233.86,233.88
van,-2.0936479568481445,3,False,-0.31612788981133094,-0.10019444263439699,-2.4998133182525635,234.0,234.18
plan,-0.731299877166748,4,False,-0.30240006440050243,-0.11527398468657236,-2.786084532737732,234.32,234.5
uren,-5.433646202087402,3,False,-0.3107240141360717,-0.15264435986567612,-2.7198326587677,234.68,234.96
spullen,-4.862757205963135,1,False,-0.2756668092381712,0.038984236262873784,-2.58983314037323,235.0,235.34
mee,-2.114060163497925,2,False,-0.23416567998678925,-0.10841244217056037,-2.5213299989700317,235.42,235.56
te,-0.9719722867012024,3,False,,-0.12897150108403857,-2.4808429479599,235.66,235.7
nemenik,-7.690359115600586,2,False,-0.04330916688647244,-0.1260478374118349,-1.831288993358612,235.8,240.5
wil,-0.9899915456771851,2,False,-0.23343428163625346,0.04660146452246021,-2.432550549507141,240.54,240.76
meeneem,-5.746068477630615,1,False,-0.05136119195977044,,-2.545617699623108,241.44,241.88
een,-3.190609931945801,1,False,-0.15350055503296603,,-2.284826874732971,242.8,243.04
