Root	SpeakerID	Component	Group	Age	Gender	CEF	DialectRegion	Duration (seconds)	Duration (days)
fv160123	V000132	comp-p	3	9	M		FL2	355.9310609	0.004119572
fv160124	V000134	comp-p	3	10	M		FL2	276.31575	0.003198099
fv160125	V000135	comp-p	3	10	M		FL3	419.683875	0.004857452
fv160127	V000136	comp-p	3	11	F		FL2	318.6703125	0.003688314
fv160128	V000137	comp-p	3	11	M		FL2	247.2026544	0.002861142
fv160129	V000138	comp-p	1	10	F		FL2	316.5704002	0.003664009
fv160130	V000139	comp-p	1	9	F		FL2	507.8455625	0.005877842
fv160131	V000140	comp-p	3	9	F		FL3	269.699511	0.003121522
fv160132	V000141	comp-p	3	10	F		FL2	245.9833125	0.002847029
fv160133	V000142	comp-p	1	10	M		FL2	287.4455	0.003326916
fv160134	V000152	comp-p	5	84	M		FL1	461.767625	0.005344533
fv160135	V000151	comp-p	5	78	F		FL2	372.060625	0.004306257
fv160136	V000143	comp-p	5	88	F		FL1	554.5496875	0.006418399
fv160137	V000146	comp-q	5	72	F		FL1	316.461875	0.003662753
fv160138	V000153	comp-p	5	79	F		FL1	439.096	0.00508213
fv160139	V000145	comp-p	5	70	M		FL1	410.5514375	0.004751753
fv160140	V000148	comp-p	5	65	F		FL1	376.8445543	0.004361627
fv160141	V000144	comp-p	5	89	M		FL1	636.5943667	0.00736799
fv160142	V000154	comp-p	5	82	F		FL1	377.9738879	0.004374698
fv160143	V000150	comp-p	5	82	F		FL1	365.3134375	0.004228165
fv160144	V000146	comp-p	5	72	F		FL1	394.39125	0.004564714
fv160145	V000149	comp-p	5	67	F		FL1	463.0769007	0.005359686
fv160146	V000155	comp-p	5	75	M		FL1	357.6391384	0.004139342
fv160147	V000155	comp-q	5	75	M		FL1	362.8146875	0.004199244
fv160148	V000156	comp-p	5	70	M		FL2	587.4403125	0.006799078
fv160149	V000166	comp-p	5	85	M		FL2	470.8595625	0.005449763
fv160150	V000165	comp-p	5	77	M		FL2	372.6328125	0.00431288
fv160151	V000159	comp-p	5	82	F		FL3	344.220375	0.003984032
fv160152	V000160	comp-p	5	80	F		FL2	353.2909375	0.004089015
fv160153	V000161	comp-p	5	75	F		FL2	412.5233125	0.004774575
fv160154	V000158	comp-p	5	67	F		FL2	299.498875	0.003466422
fv160155	V000163	comp-p	5	87	F		FL2	429.5355479	0.004971476
fv160156	V000162	comp-p	5	75	F		FL2	360.17625	0.004168707
fv160157	V000167	comp-p	3	12	M		FL3	300.7857078	0.003481316
fv160158	V000168	comp-p	3	10	M		FL3	343.0733062	0.003970756
fv160159	V000169	comp-p	3	12	F		FL3	418.7826356	0.004847021
fv160160	V000170	comp-p	3	12	F		FL3	342.8985	0.003968733
fv160161	V000171	comp-p	3	15	F		FL3	406.861875	0.004709049
fv160162	V000172	comp-p	3	14	F		FL3	344.0796677	0.003982404
fv160163	V000173	comp-p	3	11	F		FL3	384.182599	0.004446558
fv160166	V000191	comp-p	3	10	F		FL3	412.00325	0.004768556
fv160167	V000192	comp-p	3	10	M		FL3	265.9438125	0.003078053
fv160168	V000182	comp-p	2	17	M		FL4	267.698375	0.003098361
fv160169	V000193	comp-p	3	11	M		FL3	348.191375	0.004029993
fv160170	V000194	comp-p	3	11	F		FL3	305.7746875	0.003539059
fv160171	V000184	comp-p	2	13	F		FL4	264.2011875	0.003057884
fv160172	V000180	comp-p	5	71	F		FL3	442.981375	0.005127099
fv160173	V000189	comp-p	3	13	M		FL3	271.62675	0.003143828
fv160174	V000183	comp-p	1	10	M		FL4	302.8346875	0.003505031
fv160175	V000188	comp-p	3	12	M		FL3	290.7357148	0.003364997
fv160176	V000190	comp-p	3	12	F		FL3	248.9890934	0.002881818
fv160177	V000181	comp-p	5	78	F		FL3	610.1931875	0.007062421
fv160178	V000185	comp-p	2	14	M		FL4	249.805875	0.002891272
fv160179	V000187	comp-p	2	16	M		FL4	227.261125	0.002630337
fv160180	V000186	comp-p	2	16	F		FL3	237.1535	0.002744832
fv160181	V000211	comp-p	3	15	M		FL3	297.585125	0.003444272
fv160182	V000196	comp-p	3	11	M		FL3	352.1619375	0.004075948
fv160183	V000207	comp-p	3	16	M			278.4545	0.003222853
fv160184	V000201	comp-p	3	10	M		FL3	305.230375	0.003532759
fv160185	V000209	comp-p	3	15	M		FL3	256.2850625	0.002966262
fv160186	V000204	comp-p	3	11	F		FL3	292.8080625	0.003388982
fv160187	V000200	comp-q	3	10	F		FL3	216.3649375	0.002504224
fv160188	V000205	comp-p	3	14	M		FL3	284.2243575	0.003289634
fv160189	V000200	comp-p	3	10	F		FL3	435.2117551	0.005037173
fv160190	V000198	comp-p	3	11	M		FL3	262.3098004	0.003035993
fv160191	V000208	comp-p	2	15	M		FL3	264.3068125	0.003059107
fv160192	V000197	comp-p	3	11	F		FL3	276.3166875	0.00319811
fv160193	V000195	comp-p	3	11	F		FL3	338.0715625	0.003912865
fv160194	V000199	comp-p	3	11	F		FL3	88.89675	0.001028898
fv160195	V000203	comp-p	3	11	M		FL3	391.2494375	0.00452835
fv160196	V000206	comp-p	3	14	M		FL3	228.8875221	0.002649161
fv160197	V000210	comp-p	3	14	M		FL3	288.3805625	0.003337738
fv160198	V000214	comp-p	2	16	F		FL1	252.3483125	0.002920698
fv160199	V000219	comp-p	1	10	F		FL1	355.5596875	0.004115274
fv160200	V000221	comp-p	1	11	M		FL1	369.8222353	0.00428035
fv160201	V000220	comp-p	1	10	M		FL1	287.52975	0.003327891
fv160202	V000224	comp-p	2	12	M		FL1	279.3089185	0.003232742
fv160203	V000218	comp-p	1	9	M		FL1	166.2644375	0.001924357
fv160204	V000216	comp-p	1	8	F		FL1	317.79475	0.00367818
fv160205	V000215	comp-q	1	8	M		FL1	322.270375	0.003729981
fv160206	V000215	comp-p	1	8	M		FL1	306.6262145	0.003548915
fv160207	V000213	comp-p	2	13	M		FL1	305.376	0.003534444
fv160208	V000223	comp-p	2	12	F		FL1	250.8955625	0.002903884
fv160209	V000217	comp-p	1	9	F		FL1	423.8700625	0.004905904
fv160210	V000222	comp-p	1	11	F		FL1	265.34975	0.003071178
fv160211	V000228	comp-p	5	73	M		FL4	450.2379212	0.005211087
fv160212	V000225	comp-p	5	65	F		FL4	484.6775543	0.005609694
fv160213	V000227	comp-q	5	87	F		FL4	257.9848125	0.002985935
fv160214	V000227	comp-p	5	87	F		FL4	347.2969375	0.00401964
fv160215	V000229	comp-p	5	68	F		FL4	369.2574375	0.004273813
fv160216	V000226	comp-p	5	66	M		FL4	585.952005	0.006781852
fv160217	V000230	comp-p	2	16	M		FL3	440.0205625	0.005092831
fv160218	V000231	comp-p	2	13	M		FL3	272.4563125	0.00315343
fv170001	V000006	comp-q	4	31	F	A1		433.0479375	0.005012129
fv170002	V000005	comp-q	4	57	F	A2		399.84925	0.004627885
fv170003	V000007	comp-q	4	44	F	A1		623.997875	0.007222198
fv170004	V000008	comp-q	4	51	F	B1		709.2393125	0.008208788
fv170005	V000009	comp-q	4	29	M	B1		423.1073125	0.004897075
fv170006	V000012	comp-q	4	36	M	B1		451.05575	0.005220553
fv170007	V000013	comp-q	4	23	F	B1		461.1545625	0.005337437
fv170008	V000014	comp-q	4	40	F	B1		454.0085625	0.005254729
fv170009	V000011	comp-q	4	24	M	B1		466.1246875	0.005394962
fv170010	V000010	comp-q	3	16	F	A1		940.6763125	0.010887457
fv170011	V000018	comp-q	4	38	M	A1		593.35975	0.00686759
fv170012	V000022	comp-q	4	18	M	A2		633.1366875	0.007327971
fv170013	V000016	comp-q	4	59	M	A1		415.3216875	0.004806964
fv170014	V000019	comp-q	4	40	M	A1		603.0951875	0.006980268
fv170015	V000020	comp-q	4	28	M	A2		420.3235	0.004864855
fv170016	V000017	comp-q	4	47	F	A1		548.2575625	0.006345574
fv170017	V000015	comp-q	4	22	F	A1		384.4171875	0.004449273
fv170018	V000042	comp-q	2	13	M		FL1	540.907375	0.006260502
fv170019	V000027	comp-q	3	14	F		FL3	595.827625	0.006896153
fv170020	V000024	comp-q	2	12	F		FL3	474.28375	0.005489395
fv170021	V000028	comp-q	3	15	F		FL3	459.96	0.005323611
fv170022	V000029	comp-q	2	15	F		FL3	489.279875	0.005662962
fv170023	V000030	comp-q	2	16	F		FL3	415.3484375	0.004807274
fv170024	V000026	comp-q	2	14	F		FL3	339.6905625	0.003931604
fv170025	V000031	comp-q	2	13	M		FL2	428.490625	0.004959382
fv170026	V000032	comp-q	2	14	M		FL2	408.4071875	0.004726935
fv170027	V000046	comp-q	2	16	M		FL2	435.3219375	0.005038448
fv170028	V000033	comp-q	3	16	M		FL2	482.1419375	0.005580346
fv170029	V000040	comp-q	2	16	M		FL1	484.1631875	0.005603741
fv170030	V000038	comp-q	2	16	M		FL1	367.954875	0.004258737
fv170031	V000037	comp-q	2	15	F		FL1	438.1854375	0.005071591
fv170032	V000045	comp-q	2	16	F		FL1	371.484625	0.004299591
fv170033	V000039	comp-q	2	16	F		FL1	455.905125	0.00527668
fv170034	V000041	comp-q	2	15	M		FL1	472.6314375	0.005470271
fv170035	V000035	comp-q	2	13	F		FL1	375.2879375	0.00434361
fv170036	V000043	comp-q	2	14	F		FL1	414.4216875	0.004796547
fv170037	V000036	comp-q	2	14	M		FL1	355.839	0.004118507
fv170038	V000052	comp-q	4	36	F	A2		507.2916875	0.005871432
fv170039	V000053	comp-q	4	45	F	A2		534.694375	0.006188592
fv170040	V000054	comp-q	4	22	F	A1		479.636625	0.00555135
fv170041	V000055	comp-q		46	M			476.2543125	0.005512203
fv170042	V000056	comp-q	4	31	F	A2		481.0496875	0.005567705
fv170043	V000057	comp-q	4	32	F	A1		431.4928125	0.00499413
fv170044	V000059	comp-q	4	31	F	A2		540.1878125	0.006252174
fv170045	V000051	comp-q	2	16	F		FL2	356.26975	0.004123492
fv170046	V000047	comp-q	2	17	F		FL2	306.2805625	0.003544914
fv170047	V000050	comp-q	2	13	F		FL2	531.2280625	0.006148473
fv170048	V000048	comp-q	2	15	F		FL2	392.19725	0.00453932
fv170049	V000049	comp-q	2	16	F		FL2	286.29325	0.003313579
fv170050	V000060	comp-q	4	32	F	B1		398.4875	0.004612124
fv170051	V000061	comp-q	4	27	M	A2		407.9326875	0.004721443
fv170052	V000062	comp-q	4	27	M	A2		410.0445	0.004745885
fv170053	V000067	comp-q	4	23	F	B1		420.254625	0.004864058
fv170054	V000063	comp-q	4	27	F	B1		393.135625	0.004550181
fv170055	V000064	comp-q	4	33	F	B1		429.18675	0.004967439
fv170056	V000068	comp-q	1	7	F		FL3	475.915	0.005508275
fv170057	V000069	comp-q	1	9	F		FL3	305.7199375	0.003538425
fv170058	V000072	comp-q	1	8	F		FL3	267.53475	0.003096467
fv170059	V000070	comp-q	3	8	M		FL3	387.9669375	0.004490358
fv170060	V000071	comp-q	1	8	M		FL3	247.7921875	0.002867965
fv170061	V000074	comp-q	1	11	F		FL3	324.3065	0.003753547
fv170062	V000075	comp-q	2	12	M		FL3	307.678625	0.003561095
fv170063	V000076	comp-q	1	10	M		FL3	326.4619375	0.003778495
fv170064	V000077	comp-q	1	10	F		FL3	247.456	0.002864074
fv170065	V000078	comp-q	1	7	M		FL3	339.22325	0.003926195
fv170066	V000105	comp-q	2	16	F		FL4	359.4323125	0.004160096
fv170067	V000098	comp-q	2	16	F		FL4	289.14525	0.003346589
fv170068	V000104	comp-q	2	12	M		FL4	290.1386875	0.003358087
fv170069	V000099	comp-q	3	13	F		FL4	253.3971875	0.002932838
fv170070	V000103	comp-q	2	14	F		FL4	318.303	0.003684063
fv170071	V000100	comp-q	2	16	M		FL3	369.5993125	0.00427777
fv170072	V000101	comp-q	2	12	M		FL4	325.6015	0.003768536
fv170073	V000086	comp-q	1	7	M		FL4	213.1896875	0.002467473
fv170074	V000087	comp-q	1	7	F		FL4	410.058875	0.004746052
fv170075	V000088	comp-q	1	7	F		FL4	418.954	0.004849005
fv170076	V000089	comp-q	1	7	M		FL4	309.34125	0.003580339
fv170077	V000090	comp-q	1	8	M		FL4	407.3395	0.004714578
fv170078	V000091	comp-q	1	8	F		FL4	352.5390625	0.004080313
fv170079	V000092	comp-q	1	9	F		FL4	346.6050829	0.004011633
fv170080	V000093	comp-q	1	9	M		FL4	260.211875	0.003011712
fv170081	V000094	comp-q	1	9	M		FL4	427.403375	0.004946798
fv170083	V000096	comp-q	1	10	F		FL4	443.73325	0.005135802
fv170084	V000097	comp-q	1	11	F		FL4	385.2335	0.004458721
fv170085	V000106	comp-q	5	84	M		FL1	461.4658125	0.005341039
fv170086	V000107	comp-q	5	80	M		FL4	501.627875	0.005805878
fv170087	V000108	comp-q	5	76	F		FL4	352.7915625	0.004083236
fv170090	V000111	comp-q	5	81	F		FL3	268.428625	0.003106813
fv170091	V000082	comp-q	5	71	M		FL4	341.9758125	0.003958053
fv170092	V000083	comp-p	5	68	M		FL3	385.6314375	0.004463327
fv170093	V000083	comp-q	5	68	M		FL3	376.1986875	0.004354151
fv170094	V000079	comp-q	5	75	F		FL3	457.7584375	0.00529813
fv170095	V000084	comp-p	5	84	M		FL3	462.5415	0.00535349
fv170096	V000080	comp-q	5	79	M		FL3	460.624375	0.005331301
fv170098	V000113	comp-q	3	9	F		FL4	298.817375	0.003458534
fv170099	V000112	comp-q	3	9	F		FL4	298.657625	0.003456685
fv170100	V000114	comp-q	3	10	F		FL1	277.3775	0.003210388
fv170101	V000115	comp-q	1	9	F		FL1	249.5355	0.002888142
fv170102	V000116	comp-q	1	9	M		FL1	323.3046875	0.003741952
fv170104	V000118	comp-q	1	8	F		FL1	275.583875	0.003189628
fv170106	V000120	comp-q	1	11	F		FL2	486.18375	0.005627127
fv170107	V000121	comp-q	1	11	M		FL2	351.702375	0.004070629
fv170108	V000122	comp-q	3	8	M		FL3	327.321375	0.003788442
fv170109	V000123	comp-q	3	8	M		FL2	307.8714375	0.003563327
fv170110	V000124	comp-q	1	7	F		FL2	385.8508125	0.004465866
fv170111	V000125	comp-q	1	9	F		FL2	283.4896875	0.003281131
fv170112	V000126	comp-q	3	9	M		FL2	294.0381875	0.00340322
fv170113	V000127	comp-q	3	9	M		FL2	266.9403125	0.003089587
fv170114	V000128	comp-q	1	8	M		FL2	379.2363125	0.004389309
fv170115	V000129	comp-q	1	8	F		FL2	356.4448125	0.004125519
fv170116	V000130	comp-q	3	8	F		FL2	211.308375	0.002445699
fv170119	V000133	comp-q	3	11	M		FL2	446.934154	0.005172849
fv170120	V000131	comp-q	1	7	M		FL2	272.95975	0.003159256
fv170121	V000132	comp-q	3	9	M		FL2	421.5095	0.004878582
fv170124	V000134	comp-q	3	10	M		FL2	275.088125	0.00318389
fv170125	V000135	comp-q	3	10	M		FL3	262.8621875	0.003042386
fv170126	V000136	comp-q	3	11	F		FL2	362.668625	0.004197554
fv170127	V000137	comp-q	3	11	M		FL2	326.001875	0.00377317
fv170128	V000138	comp-q	1	10	F		FL2	322.0786875	0.003727763
fv170129	V000139	comp-q	1	9	F		FL2	183.978875	0.002129385
fv170130	V000140	comp-q	3	9	F		FL3	353.662375	0.004093315
fv170131	V000141	comp-q	3	10	F		FL2	351.54825	0.004068845
fv170132	V000142	comp-q	1	10	M		FL2	353.0026875	0.004085679
fv170133	V000148	comp-q	5	65	F		FL1	406.092375	0.004700143
fv170134	V000154	comp-q	5	82	F		FL1	408.7535625	0.004730944
fv170135	V000149	comp-q	5	67	F		FL1	460.9625625	0.005335215
fv170136	V000143	comp-q	5	88	F		FL1	417.4743125	0.004831879
fv170137	V000150	comp-q	5	82	F		FL1	424.7553125	0.004916149
fv170138	V000151	comp-q	5	78	F		FL2	485.0986875	0.005614568
fv170139	V000144	comp-q	5	89	M		FL1	475.0750625	0.005498554
fv170140	V000153	comp-q	5	79	F		FL1	336.905375	0.003899368
fv170142	V000145	comp-q	5	70	M		FL1	464.9275625	0.005381106
fv170143	V000152	comp-q	5	84	M		FL1	370.65075	0.004289939
fv170144	V000156	comp-q	5	70	M		FL2	355.1281875	0.00411028
fv170145	V000166	comp-q	5	85	M		FL2	431.3605625	0.004992599
fv170146	V000165	comp-q	5	77	M		FL2	297.9436875	0.003448422
fv170147	V000159	comp-q	5	82	F		FL3	345.715	0.004001331
fv170148	V000160	comp-q	5	80	F		FL2	381.391125	0.004414249
fv170149	V000161	comp-q	5	75	F		FL2	468.9175	0.005427286
fv170150	V000158	comp-q	5	67	F		FL2	365.93475	0.004235356
fv170151	V000163	comp-q	5	87	F		FL2	398.540125	0.004612733
fv170152	V000162	comp-q	5	75	F		FL2	254.315125	0.002943462
fv170153	V000167	comp-q	3	12	M		FL3	368.925125	0.004269967
fv170154	V000168	comp-q	3	10	M		FL3	330.073875	0.003820299
fv170155	V000169	comp-q	3	12	F		FL3	361.376375	0.004182597
fv170157	V000171	comp-q	3	15	F		FL3	361.1653125	0.004180154
fv170158	V000172	comp-q	3	14	F		FL3	393.36225	0.004552804
fv170159	V000173	comp-q	3	11	F		FL3	275.0772695	0.003183765
fv170162	V000185	comp-q	2	14	M		FL4	237.562625	0.002749567
fv170163	V000187	comp-q	2	16	M		FL4	238.3953125	0.002759205
fv170164	V000192	comp-q	3	10	M		FL3	440.187125	0.005094758
fv170165	V000194	comp-q	3	11	F		FL3	281.145375	0.003253997
fv170166	V000189	comp-q	3	13	M		FL3	366.95225	0.004247133
fv170167	V000180	comp-q	5	71	F		FL3	359.53825	0.004161322
fv170168	V000186	comp-q	2	16	F		FL3	343.933875	0.003980716
fv170169	V000191	comp-q	3	10	F		FL3	308.7914375	0.003573975
fv170170	V000190	comp-q	3	12	F		FL3	242.8369375	0.002810613
fv170171	V000182	comp-q	2	17	M		FL4	372.6476875	0.004313052
fv170172	V000181	comp-q	5	78	F		FL3	362.983625	0.004201199
fv170173	V000188	comp-q	3	12	M		FL3	389.8010625	0.004511586
fv170174	V000193	comp-q	3	11	M		FL3	323.37575	0.003742775
fv170175	V000183	comp-q	1	10	M		FL4	468.5214375	0.005422702
fv170176	V000184	comp-q	2	13	F		FL4	363.1871875	0.004203555
fv170177	V000205	comp-q	3	14	M		FL3	331.024625	0.003831304
fv170178	V000210	comp-q	3	14	M		FL3	243.0211875	0.002812745
fv170179	V000195	comp-q	3	11	F		FL3	459.4344375	0.005317528
fv170180	V000199	comp-q	3	11	F		FL3	379.7124375	0.00439482
fv170181	V000203	comp-q	3	11	M		FL3	407.3819375	0.004715069
fv170182	V000197	comp-q	3	11	F		FL3	364.0507021	0.00421355
fv170183	V000208	comp-q	2	15	M		FL3	403.823625	0.004673885
fv170184	V000209	comp-q	3	15	M		FL3	356.096625	0.004121489
fv170185	V000198	comp-q	3	11	M		FL3	213.95125	0.002476288
fv170186	V000211	comp-q	3	15	M		FL3	308.0254375	0.003565109
fv170187	V000202	comp-q	3	10	F		FL3	356.5975625	0.004127287
fv170188	V000206	comp-q	3	14	M		FL3	397.0770625	0.004595799
fv170189	V000201	comp-q	3	10	M		FL3	415.008	0.004803333
fv170190	V000207	comp-q	3	16	M			212.1239375	0.002455138
fv170191	V000204	comp-q	3	11	F		FL3	240.42075	0.002782648
fv170192	V000196	comp-q	3	11	M		FL3	483.381125	0.005594689
fv170193	V000218	comp-q	1	9	M		FL1	375.9345	0.004351094
fv170194	V000213	comp-q	2	13	M		FL1	433.7011875	0.00501969
fv170195	V000217	comp-q	1	9	F		FL1	457.845	0.005299132
fv170196	V000222	comp-q	1	11	F		FL1	384.44625	0.004449609
fv170197	V000216	comp-q	1	8	F		FL1	284.316125	0.003290696
fv170198	V000221	comp-q	1	11	M		FL1	335.93725	0.003888163
fv170199	V000219	comp-q	1	10	F		FL1	328.7982082	0.003805535
fv170200	V000223	comp-q	2	12	F		FL1	423.784375	0.004904912
fv170201	V000220	comp-q	1	10	M		FL1	387.2663125	0.004482249
fv170202	V000224	comp-q	2	12	M		FL1	332.419125	0.003847444
fv170203	V000214	comp-q	2	16	F		FL1	330.017	0.003819641
fv170204	V000226	comp-q	5	66	M		FL4	381.9885	0.004421163
fv170205	V000225	comp-q	5	65	F		FL4	375.1704375	0.00434225
fv170206	V000228	comp-q	5	73	M		FL4	321.627625	0.003722542
fv170207	V000229	comp-q	5	68	F		FL4	430.4355625	0.004981893
